NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E4220200004111,日宇地区コミュニティセンター体育室,長崎県佐世保市もみじが丘町42-1,1,,,33.160475,129.7815028,
2,E4220200007111,大塔小学校,長崎県佐世保市もみじが丘町6745,1,,,33.16143768644,129.77437886493,
3,E4220200001111,長崎国際大学,長崎県佐世保市ハウステンボス町2825-7,1,,,33.10212356698,129.79133214149,
4,E4220200008111,道の駅「させぼっくす　９９」,長崎県佐世保市愛宕町11,1,,,33.201609593374,129.67157902779,
5,E4220200012111,南地区コミュニティセンター,長崎県佐世保市稲荷町2-5,1,,,33.157075,129.7346611,
6,E4220200015111,県立宇久高等学校,長崎県佐世保市宇久町平1042,1,,,33.264142294835,129.12674684163,
7,E4220200017111,宇久中学校,長崎県佐世保市宇久町平2303,1,,,33.267436243544,129.13133397149,
8,E4220200018111,宇久小学校,長崎県佐世保市宇久町平2690,1,,,33.266456697824,129.1304614508,
9,E4220200019111,宇久地区コミュニティセンター,長崎県佐世保市宇久町平2691,1,,,33.26640278,129.1303361,
10,E4220200022111,県立佐世保青少年の天地,長崎県佐世保市烏帽子町376,1,,,33.175542382759,129.7555994372,
11,E4220200023111,佐世保拘置支所（鍛練場）,長崎県佐世保市浦川内町1,1,,,33.117940570359,129.81247888835,
12,E4220200024111,東部スポーツ広場,長崎県佐世保市浦川内町無番地,,,,33.117703266585,129.80614006515,
13,E4220200025111,国立佐世保工業高等専門学校,長崎県佐世保市沖新町1-1,1,,,33.1493606949,129.74870639268,
14,E4220200026111,宮小学校,長崎県佐世保市荻坂町1715,1,,,33.088443679573,129.81821064378,
15,E4220200030111,九十九地区コミュニティセンター,長崎県佐世保市下船越町306-7,1,,,33.13688889,129.6980667,
16,E4220200031111,九州文化学園小中学校,長崎県佐世保市花園町10-1,1,,,33.182816717758,129.72336594487,
17,E4220200033111,早岐児童センター,長崎県佐世保市花高1-6-45,1,,,33.138361,129.803774,
18,E4220200035111,花高小学校,長崎県佐世保市花高3-4-1,1,,,33.140539691074,129.81139612615,
19,E4220200036111,早岐地区コミュニティセンター　花高体育室,長崎県佐世保市花高3-98-11,1,,,33.140911,129.808785,
20,E4220200038111,皆瀬小学校,長崎県佐世保市皆瀬町207,1,,,33.214157961753,129.69801063436,
21,E4220200039111,福石中学校,長崎県佐世保市干尽町2-10,1,,,33.153213475243,129.73262677709,
22,E4220200040111,佐世保競輪場,長崎県佐世保市干尽町2-5,1,,,33.155553809883,129.73068487499,
23,E4220200042111,祇園中学校,長崎県佐世保市祇園町14-12,1,,,33.176848463019,129.72519289561,
24,E4220200043111,祇園小学校,長崎県佐世保市祇園町18-18,1,,,33.174636839756,129.72350100524,
25,E4220200045111,吉井南小学校,長崎県佐世保市吉井町前岳27-3,1,,,33.27060915358,129.69180538954,
26,E4220200046111,吉井中学校,長崎県佐世保市吉井町前岳3-2,1,,,33.270030220038,129.692149236,
27,E4220200047111,吉井北小学校,長崎県佐世保市吉井町直谷1030,1,,,33.286439577079,129.69880963825,
28,E4220200048111,吉井地区コミュニティセンター　吉田乃館,長崎県佐世保市吉井町田原625-1,1,,,33.259901,129.699692,
29,E4220200050111,吉井地区コミュニティセンター,長崎県佐世保市吉井町立石473,1,,,33.270125,129.6887861,
30,E4220200052111,県立佐世保商業高等学校,長崎県佐世保市吉岡町863-3,1,,,33.205952730607,129.6982007399,
31,E4220200053111,光海中学校,長崎県佐世保市金比良町1-15,1,,,33.168441537482,129.70890498168,
32,E4220200054111,金比良小学校,長崎県佐世保市金比良町1-5,1,,,33.169779218233,129.70727868905,
33,E4220200055111,西地区コミュニティセンター,長崎県佐世保市金比良町1-7,1,,,33.16935278,129.7069306,
34,E4220200056111,県立武道館,長崎県佐世保市熊野町90,1,,,33.178948,129.722424,
35,E4220200059111,大野小学校,長崎県佐世保市原分町1,1,,,33.210218807311,129.72620643696,
36,E4220200061111,旧戸尾小学校跡,長崎県佐世保市戸尾町5-1,1,,,33.168987470531,129.72523131969,
37,E4220200064111,体育文化館,長崎県佐世保市光月町6-17,1,,,33.172786111111,129.72420833333,
38,E4220200064112,中部地区コミュニティセンター,長崎県佐世保市光月町6-17,1,,,33.17314444,129.72455,
39,E4220200065111,三川内小学校,長崎県佐世保市口の尾町698,1,,,33.159289396256,129.82855185737,
40,E4220200067111,広田小学校,長崎県佐世保市広田1-25-4,1,,,33.127484,129.802644,
41,E4220200072111,デイサービスセンター老福荘,長崎県佐世保市江迎町赤坂282-24,1,,,33.296624,129.64035,
42,E4220200073111,江迎小学校,長崎県佐世保市江迎町中尾126,1,,,33.309281628968,129.63467879118,
43,E4220200074111,猪調小学校,長崎県佐世保市江迎町猪調1000,1,,,33.28486179921,129.67009527587,
44,E4220200076111,江迎地区コミュニティセンター,長崎県佐世保市江迎町長坂104,1,,,33.30706389,129.6318611,
45,E4220200079111,江迎地区文化会館,長崎県佐世保市江迎町田ノ元265-1,1,,,33.281273317076,129.68466926143,
46,E4220200082111,江迎中学校,長崎県佐世保市江迎町乱橋584,1,,,33.296599097162,129.63749773929,
47,E4220200083111,東明中学校,長崎県佐世保市江上町814,1,,,33.108839144292,129.76965489568,
48,E4220200085111,相浦小学校高島分校,長崎県佐世保市高島町336,1,,,33.164496389763,129.58913135251,
49,E4220200087111,黒島小中学校,長崎県佐世保市黒島町2608-10,1,,,33.143558495066,129.53975335199,
50,E4220200088111,黒島地区コミュニティセンター,長崎県佐世保市黒島町3175,1,,,33.14178611,129.5344806,
51,E4220200091111,黒髪小学校,長崎県佐世保市黒髪町52-1,1,,,33.16411586034,129.77570107376,
52,E4220200100111,三川内地区コミュニティセンター,長崎県佐世保市三川内本町289-1,1,,,33.15274722,129.8293139,
53,E4220200102111,三川内地区コミュニティセンター　体育室,長崎県佐世保市三川内本町358-1,1,,,33.15457778,129.8302722,
54,E4220200104111,白南風小学校,長崎県佐世保市山祇町387,1,,,33.167865119668,129.73312979364,
55,E4220200105111,山手小学校,長崎県佐世保市山手町16-38,1,,,33.186525405161,129.72645311183,
56,E4220200106111,江上地区コミュニティセンター,長崎県佐世保市指方町1759,1,,,33.10856944,129.7834389,
57,E4220200108111,江上小学校,長崎県佐世保市指方町2382,1,,,33.109208585073,129.77822867371,
58,E4220200110111,旧ポリテクセンター体育館,長崎県佐世保市指方町692-1,1,,,33.114498110161,129.79140544666,
59,E4220200112111,赤崎小学校,長崎県佐世保市鹿子前町330,1,,,33.160635806892,129.68820356017,
60,E4220200114111,鹿町中学校,長崎県佐世保市鹿町町下歌ヶ浦1-16,1,,,33.278553733377,129.58971500796,
61,E4220200115111,歌浦小学校,長崎県佐世保市鹿町町下歌ヶ浦791-11,1,,,33.266342819991,129.58154655791,
62,E4220200116111,鹿町地区コミュニティセンター,長崎県佐世保市鹿町町下歌ヶ浦8-37,1,,,33.27826944,129.5933194,
63,E4220200119111,鹿町小学校,長崎県佐世保市鹿町町深江730-1,1,,,33.298097088171,129.61599719244,
64,E4220200121111,県立鹿町工業高等学校,長崎県佐世保市鹿町町土肥ノ浦110,1,,,33.305774829471,129.61726284724,
65,E4220200124111,崎辺地区コミュニティセンター,長崎県佐世保市十郎新町3-7,1,,,33.13830833,129.7395806,
66,E4220200125111,広田中学校,長崎県佐世保市重尾町188,1,,,33.124124830012,129.80968356365,
67,E4220200126111,県立佐世保東翔高等学校,長崎県佐世保市重尾町425-3,1,,,33.126011194694,129.81618487363,
68,E4220200127111,広田地区コミュニティセンター,長崎県佐世保市重尾町63,1,,,33.124475,129.8074167,
69,E4220200128111,北地区コミュニティセンター,長崎県佐世保市春日町18-9,1,,,33.19820833,129.7230917,
70,E4220200129111,西海学園高等学校,長崎県佐世保市春日町29-22,1,,,33.200632940684,129.72169903801,
71,E4220200133111,小佐々スポーツセンター,長崎県佐世保市小佐々町黒石523-1,1,,,33.218366666667,129.62922777778,
72,E4220200134111,小佐々中学校,長崎県佐世保市小佐々町西川内132,1,,,33.213704974859,129.60015235369,
73,E4220200135111,小佐々地区コミュニティセンター,長崎県佐世保市小佐々町西川内172-3,1,,,33.214972,129.599054,
74,E4220200136111,小佐々小学校,長崎県佐世保市小佐々町田原290-1,1,,,33.225977963003,129.61926803321,
75,E4220200137111,楠栖小学校,長崎県佐世保市小佐々町楠泊526,1,,,33.218980551384,129.57377648664,
76,E4220200139111,小佐世保小学校,長崎県佐世保市小佐世保町18-1,1,,,33.176476248928,129.73472524234,
77,E4220200140111,県立ろう学校佐世保分教室,長崎県佐世保市小舟町60,1,,,33.207864131487,129.75941584906,
78,E4220200144111,聖和女子学院高等学校,長崎県佐世保市松山町495,1,,,33.19172748489,129.72239510238,
79,E4220200145111,大野中学校,長崎県佐世保市松瀬町838,1,,,33.21035193081,129.72680113421,
80,E4220200146111,相浦小学校,長崎県佐世保市上相浦町3-9,1,,,33.193135743359,129.66779530229,
81,E4220200147111,中里皆瀬地区コミュニティセンター,長崎県佐世保市上本山町1228-1,1,,,33.210625,129.6955806,
82,E4220200150111,柚木小学校,長崎県佐世保市上柚木町3204,1,,,33.212880301837,129.77373831038,
83,E4220200151111,宮中学校,長崎県佐世保市城間町338,1,,,33.087580047748,129.8151699871,
84,E4220200152111,宮地区コミュニティセンター,長崎県佐世保市城間町345,1,,,33.08686944,129.8148194,
85,E4220200153111,まちなかコミュニティセンター,長崎県佐世保市常盤町6-1,1,,,33.17378333,129.7187528,
86,E4220200154111,三川内中学校,長崎県佐世保市新行江町957,1,,,33.155198739831,129.83375311948,
87,E4220200158111,針尾地区コミュニティセンター,長崎県佐世保市針尾中町1538-5,1,,,33.07778333,129.7560833,
88,E4220200159111,針尾小学校,長崎県佐世保市針尾中町1863,1,,,33.082190782602,129.75469596677,
89,E4220200162111,針尾地区コミュニティセンター　体育室,長崎県佐世保市針尾北町756,1,,,33.100259486338,129.75604929392,
90,E4220200164111,早岐中学校,長崎県佐世保市陣の内町100,1,,,33.143321810751,129.79700422218,
91,E4220200167111,潮見小学校,長崎県佐世保市須田尾町19-44,1,,,33.164699550623,129.73435168782,
92,E4220200168111,山澄中学校,長崎県佐世保市須田尾町232,1,,,33.166378548257,129.73596677262,
93,E4220200169111,世知原中学校,長崎県佐世保市世知原町栗迎132-1,1,,,33.254584645801,129.75307113936,
94,E4220200170111,世知原小学校,長崎県佐世保市世知原町栗迎194-1,1,,,33.256681028612,129.75354816219,
95,E4220200171111,世知原地区コミュニティセンター,長崎県佐世保市世知原町栗迎246-1,1,,,33.257698563416,129.75168522588,
96,E4220200174111,春日小学校,長崎県佐世保市瀬戸越3-19-1,1,,,33.203047870508,129.72828606692,
97,E4220200175111,県立佐世保工業高等学校,長崎県佐世保市瀬戸越3-3-30,1,,,33.208060585889,129.72993575838,
98,E4220200179111,愛宕中学校,長崎県佐世保市赤崎町483-2,1,,,33.1570812126,129.69703366965,
99,E4220200180111,愛宕地区コミュニティセンター,長崎県佐世保市赤崎町596-26,1,,,33.15556389,129.6953917,
100,E4220200183111,長崎県立大学佐世保校,長崎県佐世保市川下町123,1,,,33.18686072236,129.66661265403,
101,E4220200184111,相浦地区コミュニティセンター,長崎県佐世保市川下町209-5,1,,,33.186276287825,129.66823856129,
102,E4220200185111,相浦中学校,長崎県佐世保市川下町277,1,,,33.190341316302,129.66855761201,
103,E4220200187111,浅子小中学校,長崎県佐世保市浅子町58,1,,,33.203214809879,129.62599839863,
104,E4220200189111,船越小学校,長崎県佐世保市船越町759,1,,,33.145850161726,129.69048389068,
105,E4220200191111,早岐地区コミュニティセンター,長崎県佐世保市早岐1-6-38,1,,,33.13631111,129.7975667,
106,E4220200192111,早岐小学校,長崎県佐世保市早岐2-32-12,1,,,33.139810730701,129.79800511192,
