NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E4220200002201,もみじが丘中央公園,長崎県佐世保市もみじが丘町2,,,,1,1,1,,,,33.1599,129.7743528,
2,E4220200003201,もみじが丘第一公園,長崎県佐世保市もみじが丘町28-1,,,,1,1,1,,,,33.16172778,129.7777861,
3,E4220200004201,日宇地区コミュニティセンター体育室,長崎県佐世保市もみじが丘町42-1,,1,,,,,,,1,33.160475,129.7815028,
4,E4220200005201,もみじが丘第三公園,長崎県佐世保市もみじが丘町47-60,,,,1,1,1,,,,33.158971,129.779295,
5,E4220200006201,もみじが丘第四公園,長崎県佐世保市もみじが丘町6-4,,,,1,1,1,,,,33.158546,129.776855,
6,E4220200007201,大塔小学校,長崎県佐世保市もみじが丘町6745,,1,,1,,1,,,1,33.16146111,129.7743833,
7,E4220200001201,長崎国際大学,長崎県佐世保市ハウステンボス町2825-7,1,1,,1,,1,,,1,33.101685,129.789978,
8,E4220200008201,道の駅「させぼっくす　９９」,長崎県佐世保市愛宕町11,1,1,,1,1,1,,,1,33.201475,129.6718972,
9,E4220200009201,旧庵浦小学校,長崎県佐世保市庵浦町1446,,,,1,,1,,,,33.12499444,129.6991889,
10,E4220200010201,稲荷公園,長崎県佐世保市稲荷町165-8,,,,1,1,1,,,,33.15701389,129.7339417,
11,E4220200011201,大宮公園,長崎県佐世保市稲荷町190,,,,1,1,1,,,,33.157296,129.737002,
12,E4220200012201,南地区コミュニティセンター,長崎県佐世保市稲荷町2-5,,1,,,,,,,1,33.157075,129.7346611,
13,E4220200013201,宇久町総合公園,長崎県佐世保市宇久町小浜３０９６－４８外,,,,1,1,1,,,,33.26016111,129.1188028,
14,E4220200015201,県立宇久高等学校,長崎県佐世保市宇久町平1042,,1,,1,1,1,,,1,33.26416667,129.1267222,
15,E4220200016201,エビスが丘中央公園,長崎県佐世保市宇久町平2253,,,,1,1,1,,,,33.26830556,129.1308111,
16,E4220200017201,宇久中学校,長崎県佐世保市宇久町平2303,,1,,1,1,1,,,1,33.26747222,129.1313111,
17,E4220200018201,宇久小学校,長崎県佐世保市宇久町平2690,,1,,1,1,1,,,1,33.266310924037,129.13042121766,
18,E4220200019201,宇久地区コミュニティセンター,長崎県佐世保市宇久町平2691,,1,,,,,,,1,33.26640278,129.1303361,
19,E4220200020201,古里公園,長崎県佐世保市宇久町本飯良1307,,,,1,1,1,,,,33.2669,129.0860056,
20,E4220200021201,烏帽子岳高原リゾートスポーツの里,長崎県佐世保市烏帽子町128,,,,1,1,1,,,,33.184025,129.7636639,
21,E4220200022201,県立佐世保青少年の天地,長崎県佐世保市烏帽子町376,,1,,1,,1,,,1,33.17572778,129.75675,
22,E4220200267201,東部スポーツ広場,長崎県佐世保市浦川内町,1,1,,1,1,1,,,,33.11929167,129.8049889,
23,E4220200023201,佐世保拘置支所（鍛錬場）,長崎県佐世保市浦川内町1,,1,,1,,1,,,1,33.117945063315,129.81247888835,
24,E4220200025201,国立佐世保工業高等専門学校,長崎県佐世保市沖新町1-1,,1,,1,,1,,,1,33.14938889,129.7487194,
25,E4220200026201,宮小学校,長崎県佐世保市荻坂町1715,1,1,,1,,1,,,1,33.08846944,129.8181917,土砂：体育館使用不可
26,E4220200027201,卸本町第二公園,長崎県佐世保市卸本町174,,,,1,1,1,,,,33.14866111,129.7721,
27,E4220200028201,下宇戸公園,長崎県佐世保市下宇戸町802-1,,,,1,1,1,,,,33.19158611,129.773975,
28,E4220200029201,船越第二公園,長崎県佐世保市下船越町306-3,,,,1,,1,,,,33.13663333,129.6975778,
29,E4220200030201,九十九地区コミュニティセンター,長崎県佐世保市下船越町306-7,,1,,,,,,,1,33.13688889,129.6980667,
30,E4220200031201,九州文化学園小中学校,長崎県佐世保市花園町10-1,1,,,1,1,1,,,1,33.18285,129.7233667,
31,E4220200032201,花高第一公園,長崎県佐世保市花高1-269-9,,,,1,1,1,,,,33.13750833,129.8048056,
32,E4220200033201,早岐児童センター,長崎県佐世保市花高1-6-45,1,1,,,,,,,1,33.138361,129.803774,
33,E4220200034201,花高第二公園,長崎県佐世保市花高3-20-3,,,,1,1,1,,,,33.14281944,129.8107667,
34,E4220200035201,花高小学校,長崎県佐世保市花高3-4-1,1,1,,1,,1,,,1,33.140675,129.8115417,
35,E4220200036203,早岐地区コミュニティセンター　花高体育室,長崎県佐世保市花高3-98-11,1,,,,1,,,,1,33.140929,129.808785,
36,E4220200036202,花高中央公園,長崎県佐世保市花高3-98-11,,,,1,1,1,,,1,33.14034722,129.8096917,
37,E4220200037201,花高第三公園,長崎県佐世保市花高4-110-142,,,,1,1,1,,,,33.14034167,129.8129361,
38,E4220200038201,皆瀬小学校,長崎県佐世保市皆瀬町207,1,1,,1,,1,,,1,33.21419444,129.6980083,
39,E4220200039201,福石中学校,長崎県佐世保市干尽町2-10,,1,,1,1,1,,,1,33.15322778,129.7326111,
40,E4220200040201,佐世保競輪場,長崎県佐世保市干尽町2-5,,1,,1,1,1,,,1,33.15534722,129.7305722,
41,E4220200041201,干尽公園,長崎県佐世保市干尽町6-21,,,,1,1,1,,,,33.15036667,129.7245417,
42,E4220200042201,祇園中学校,長崎県佐世保市祇園町14-12,1,1,,1,,1,,,1,33.17686667,129.725175,
43,E4220200043201,祇園小学校,長崎県佐世保市祇園町18-18,1,1,,1,,1,,,1,33.17466389,129.7234778,
44,E4220200044201,牧の岳公園,長崎県佐世保市吉井町前岳158-1,,,,1,1,1,,,,33.271725,129.7003944,
45,E4220200045201,吉井南小学校,長崎県佐世保市吉井町前岳27-3,1,1,,1,,1,,,1,33.27063056,129.6918194,土砂：運動場・体育館使用不可
46,E4220200046201,吉井中学校,長崎県佐世保市吉井町前岳3-2,,1,,1,,1,,,1,33.27006389,129.6921444,
47,E4220200047201,吉井北小学校,長崎県佐世保市吉井町直谷1030,1,1,,1,,1,,,1,33.286460901278,129.69877101402,
48,E4220200048201,吉井地区コミュニティセンター　吉田乃館,長崎県佐世保市吉井町田原625-1,1,1,,1,,1,,,1,33.259901,129.699692,
49,E4220200049201,吉井親水公園,長崎県佐世保市吉井町立石227-3,,,,1,1,1,,,,33.26724167,129.6860028,
50,E4220200050201,吉井地区コミュニティセンター,長崎県佐世保市吉井町立石473,,1,,,,,,,1,33.270125,129.6887861,
51,E4220200051201,吉岡第二公園,長崎県佐世保市吉岡町1023-1,,,,1,1,1,,,,33.20637778,129.6950639,
52,E4220200052201,県立佐世保商業高等学校,長崎県佐世保市吉岡町863-3,1,1,,1,,1,,,1,33.20597222,129.6982083,
53,E4220200053201,光海中学校,長崎県佐世保市金比良町1-15,1,1,,1,1,1,,,1,33.168796,129.708726,
54,E4220200054201,金比良小学校,長崎県佐世保市金比良町1-5,1,1,,1,1,1,,,1,33.169973,129.70786,
55,E4220200055201,西地区コミュニティセンター,長崎県佐世保市金比良町1-7,1,1,,,1,,,,1,33.16935278,129.7069306,
56,E4220200056201,県立武道館,長崎県佐世保市熊野町90,1,,,,1,,,,1,33.178806,129.72261,
57,E4220200057201,平松公園,長崎県佐世保市桑木場町1840-1,,,,1,1,1,,,,33.16728056,129.8083639,
58,E4220200058201,権常寺公園,長崎県佐世保市権常寺1-20,,,,1,,1,,,,33.13224444,129.7999472,
59,E4220200059201,大野小学校,長崎県佐世保市原分町1,,1,,1,,1,,,1,33.21023611,129.7262139,
60,E4220200060201,北部ふれあいスポーツ広場,長崎県佐世保市原分町1578,,,,1,1,1,,,,33.22043333,129.7275778,
61,E4220200061201,旧戸尾小学校跡,長崎県佐世保市戸尾町5-1,1,1,,1,1,1,,,1,33.16900833,129.7252306,
62,E4220200062201,琴平公園,長崎県佐世保市御船町370-1,,,,1,1,1,,,,33.16996389,129.7045028,
63,E4220200064202,中部地区コミュニティセンター,長崎県佐世保市光月町6-17,1,1,,,1,,,,1,33.173004,129.724899,
64,E4220200064201,体育文化館,長崎県佐世保市光月町6-17,1,1,,1,1,1,,,1,33.17268,129.724173,
65,E4220200063201,新公園,長崎県佐世保市光月町１０００－９外２町,,,,1,1,1,,,,33.17233889,129.7247472,
66,E4220200065201,三川内小学校,長崎県佐世保市口の尾町698,1,1,,1,,1,,,1,33.15932222,129.8285639,
67,E4220200066201,小森公園,長崎県佐世保市広田1-129,,,,1,,1,,,,33.12884167,129.7991861,
68,E4220200067201,広田小学校,長崎県佐世保市広田1-25-4,1,1,,1,1,1,,,1,33.127462,129.802558,
69,E4220200068201,広田公園,長崎県佐世保市広田3-119,,,,1,1,1,,,,33.12295278,129.8045222,
70,E4220200069201,崎岡第一公園,長崎県佐世保市広田3-396,,,,1,,1,,,,33.12014167,129.8021889,
71,E4220200070201,江永公園,長崎県佐世保市江永町610-1,,,,1,1,1,,,,33.160625,129.8428722,
72,E4220200071201,白岳自然公園,長崎県佐世保市江迎町奥川内253-6,,,,1,1,1,,,,33.30724444,129.6643139,
73,E4220200072201,デイサービスセンター老福荘,長崎県佐世保市江迎町赤坂282-24,1,1,,,1,,,,1,33.296646,129.640384,
74,E4220200073201,江迎小学校,長崎県佐世保市江迎町中尾126,1,1,,1,1,1,,,1,33.30932222,129.6346778,
75,E4220200074201,猪調小学校,長崎県佐世保市江迎町猪調1000,1,1,,1,,1,,,1,33.28489722,129.6700889,土砂：体育館使用不可
76,E4220200075201,猪調公園,長崎県佐世保市江迎町猪調1312,,,,1,1,1,,,,33.28616111,129.6745639,
77,E4220200076201,江迎地区コミュニティセンター,長崎県佐世保市江迎町長坂104,,1,,,,,,,1,33.30706389,129.6318611,
78,E4220200077201,江迎中央公園,長崎県佐世保市江迎町長坂320,,,,1,1,1,,,,33.30995278,129.63,
79,E4220200078201,岩下公園,長崎県佐世保市江迎町田ノ元1008-6,,,,1,1,1,,,,33.283784114385,129.68284797249,
80,E4220200079201,江迎地区文化会館,長崎県佐世保市江迎町田ノ元265-1,1,1,,,,,,,1,33.28141389,129.6847722,
81,E4220200080201,高岩公園,長崎県佐世保市江迎町北平3-10,,,,1,1,1,,,,33.30109167,129.6377556,
82,E4220200081201,才木公園,長崎県佐世保市江迎町末橘1206-1,,,,1,1,1,,,,33.31830556,129.6243778,
83,E4220200082201,江迎中学校,長崎県佐世保市江迎町乱橋584,,1,,1,,1,,,1,33.29663889,129.6374861,
84,E4220200083201,東明中学校,長崎県佐世保市江上町814,,1,,1,1,1,,,1,33.108787007634,129.76965210266,
85,E4220200084201,東明公園,長崎県佐世保市江上町926-3,,,,1,,1,,,,33.10365278,129.7700167,
86,E4220200085201,相浦小学校高島分校,長崎県佐世保市高島町336,,1,,1,1,1,,,1,33.16449167,129.5891278,
87,E4220200086201,妙見公園,長崎県佐世保市高梨町446,,,,1,1,1,,,,33.17524444,129.7270083,
88,E4220200087201,黒島小中学校,長崎県佐世保市黒島町2608-10,,1,,1,,1,,,1,33.14358056,129.5397528,
89,E4220200088201,黒島地区コミュニティセンター,長崎県佐世保市黒島町3175,,1,,,,,,,1,33.14178611,129.5344806,
90,E4220200089201,上木場公園,長崎県佐世保市黒髪町2406,,,,1,1,1,,,,33.17318333,129.7858417,
91,E4220200090201,黒髪第二公園,長崎県佐世保市黒髪町4899-116,,,,1,1,1,,,,33.17021667,129.7710611,
92,E4220200091201,黒髪小学校,長崎県佐世保市黒髪町52-1,,1,,1,,1,,,1,33.16414444,129.7756694,
93,E4220200092201,椿ヶ丘公園,長崎県佐世保市黒髪町6233-3,,,,1,1,1,,,,33.16308889,129.7796444,
94,E4220200093201,黒髪第一公園,長崎県佐世保市黒髪町6361-1,,,,1,1,1,,,,33.16507222,129.7795667,
95,E4220200094201,崎岡西公園,長崎県佐世保市崎岡町971-1,,,,1,,1,,,,33.11770833,129.7983639,
96,E4220200095201,桜木公園,長崎県佐世保市桜木町694-1,,,,1,1,1,,,,33.20141944,129.7273972,
97,E4220200096201,桜木やまんた公園,長崎県佐世保市桜木町918-6,,,,1,1,1,,,,33.19892778,129.7335917,
98,E4220200269201,アルカスＳＡＳＥＢＯ,長崎県佐世保市三浦町2-3,1,,,1,1,,,,1,33.165546,129.724213,
99,E4220200097201,テクノパーク第一公園,長崎県佐世保市三川内新町１－２０外,,,,1,1,1,,,,33.13942222,129.8425444,
